,1. open,2. high,3. low,4. close,5. volume
2024-09-19,571.01,572.88,568.08,570.98,75315470
2024-09-18,563.74,568.69,560.83,561.4,59044937
2024-09-17,565.1,566.58,560.795,563.07,49320970
2024-09-16,561.74,563.11,559.9,562.84,36656122
2024-09-13,559.71,563.03,559.45,562.01,39310501
2024-09-12,555.01,559.4,552.74,559.09,51892735
2024-09-11,548.7,555.36,539.96,554.42,75248608
2024-09-10,548.36,549.15,543.38,548.79,36394579
2024-09-09,544.65,547.71,542.68,546.41,40445822
2024-09-06,549.94,551.6,539.44,540.36,68493805
2024-09-05,550.89,553.7995,547.1,549.61,44264258
2024-09-04,550.2,554.43,549.46,550.95,46232483
2024-09-03,560.47,560.81,549.51,552.08,60600113
2024-08-30,560.77,564.2,557.14,563.68,62700110
2024-08-29,560.31,563.68,557.18,558.35,38715176
2024-08-28,561.21,561.65,555.04,558.3,41066024
2024-08-27,559.49,562.06,558.32,561.56,32693898
2024-08-26,563.18,563.91,559.05,560.79,35788609
2024-08-23,559.53,563.09,557.29,562.13,50639393
2024-08-22,562.56,563.18,554.98,556.22,56121456
2024-08-21,559.77,562.11,554.73,560.62,41514600
2024-08-20,559.15,560.84,557.325,558.7,33732264
2024-08-19,554.73,559.61,553.86,559.61,39121793
2024-08-16,551.42,555.02,551.26,554.31,44430728
2024-08-15,549.5,553.36,548.88,553.07,60846812
2024-08-14,542.85,544.96,540.12,543.75,42446929
2024-08-13,536.53,542.28,536.28,542.04,52333073
2024-08-12,534.21,535.73,530.95,533.27,42542069
2024-08-09,529.81,534.51,528.56,532.99,45619558
2024-08-08,523.91,531.29,521.84,530.65,63276589
2024-08-07,528.47,531.59,518.0519,518.66,70698340
2024-08-06,519.22,529.75,517.87,522.15,84826312
2024-08-05,511.64,523.58,510.27,517.38,146267391
2024-08-02,535.75,536.99,528.6,532.9,82789070
2024-08-01,552.57,554.8688,539.43,543.01,76428732
2024-07-31,548.98,553.5,547.5799,550.81,65663388
2024-07-30,546.26,547.34,538.515,542.0,46853632
2024-07-29,546.02,547.05,542.72,544.76,39515824
2024-07-26,542.28,547.19,541.49,544.44,53763788
2024-07-25,541.35,547.455,537.45,538.41,61158288
2024-07-24,548.86,549.17,540.29,541.23,74515266
2024-07-23,554.54,556.735,553.275,553.78,34439561
2024-07-22,553.0,555.27,551.02,554.65,43346720
2024-07-19,552.42,554.08,547.91,548.99,65509081
2024-07-18,558.51,559.52,550.43,552.66,56270392
2024-07-17,558.8,560.51,556.61,556.94,57118956
2024-07-16,562.865,565.16,562.1,564.86,36475260
2024-07-15,562.03,564.8371,559.63,561.53,40584293
2024-07-12,557.63,563.67,557.15,559.99,53084405
2024-07-11,561.44,562.33,555.83,556.48,53054184
2024-07-10,557.07,561.67,556.77,561.32,38701220
2024-07-09,556.26,557.18,555.52,555.82,27314125
2024-07-08,555.44,556.2501,554.19,555.28,36110451
2024-07-05,551.77,555.05,551.12,554.64,41488389
2024-07-03,548.69,551.83,548.65,551.46,32789911
2024-07-02,543.7,549.01,543.65,549.01,40434792
2024-07-01,545.63,545.88,542.52,545.34,40297810
2024-06-28,547.16,550.28,542.95,544.22,76144535
2024-06-27,545.37,546.96,544.61,546.37,35041480
2024-06-26,543.69,546.24,543.03,545.51,38550637
2024-06-25,543.99,545.2,542.44,544.83,38273346
2024-06-24,544.33,546.95,542.62,542.74,45528654
2024-06-21,544.4,545.65,543.02,544.51,64513859
2024-06-20,549.44,550.12,545.18,547.0,70328226
2024-06-18,547.16,548.62,546.73,548.49,41376417
2024-06-17,542.08,548.53,541.6072,547.1,55839457
2024-06-14,540.88,542.81,539.85,542.78,40089895
2024-06-13,543.15,543.325,539.59,542.45,44760949
2024-06-12,541.63,544.12,540.3,541.36,63251305
2024-06-11,534.07,537.01,532.05,536.95,36383411
2024-06-10,533.18,535.99,532.57,535.66,35729252
2024-06-07,533.66,536.89,532.535,534.01,43224525
2024-06-06,534.98,535.42,532.68,534.66,30808530
2024-06-05,530.77,534.69,528.7254,534.67,47610365
2024-06-04,526.46,529.15,524.96,528.39,34632661
2024-06-03,529.02,529.31,522.6,527.8,46835702
2024-05-31,523.59,527.5,518.36,527.37,90785755
2024-05-30,524.52,525.2,521.33,522.61,46468510
2024-05-29,525.68,527.31,525.37,526.1,45190323
2024-05-28,530.27,530.51,527.11,529.81,36269602
2024-05-24,527.85,530.27,526.881,529.44,41291076
2024-05-23,532.96,533.07,524.72,525.96,57211197
2024-05-22,530.65,531.38,527.6,529.83,48389968
2024-05-21,529.28,531.52,529.07,531.36,33437001
2024-05-20,529.57,531.5601,529.17,530.06,37764206
2024-05-17,528.81,529.52,527.32,529.45,59187585
2024-05-16,529.88,531.5218,528.54,528.69,50244827
2024-05-15,525.83,530.08,525.18,529.78,59504897
2024-05-14,521.11,523.83,520.56,523.3,57535867
2024-05-13,522.56,522.67,519.74,520.91,36716361
2024-05-10,521.81,522.635,519.59,520.84,52233171
2024-05-09,517.38,520.2074,516.705,520.17,43643668
2024-05-08,515.26,517.74,515.14,517.19,42047214
2024-05-07,517.56,518.57,516.45,517.14,52561299
2024-05-06,513.75,516.61,513.3,516.57,47264703
2024-05-03,511.16,512.55,508.56,511.29,72756709
2024-05-02,504.15,505.89,499.55,505.03,62550179
2024-05-01,501.38,508.19,499.865,500.35,80242839
2024-04-30,508.56,509.56,501.98,501.98,77483566
2024-04-29,510.09,510.75,507.25,510.06,46415449
